maneno,polarity
team 2019merimera takataka,0.0
sijafurahishwa,0.0
kubuni dosari,0.0
kusema nilipoteza pesa zangu,0.0
sema kupoteza pesa,0.0
ubunifu isiyo kawaida kwani kipande sikio sio kizuri,0.0
akili yako imeoza,0.0
aki si maisha magumu,0.0
enyewe safaricom wezi,0.0
mtandao duni line niliweka nyuma simu yangunatumia airtel,0.0
mtandao wenu 4g mbaya siku hizi rekebisheni,0.0
safaricom si muache kucheza mkopo nambari mnanifilisisha,0.0
hauna haki,0.0
nyinyi nilinunua laini yenu miaka 20 iliyopita peremende sijawai pata gai mtu akioa bibi miaka yote sianamzaliaheeeee nengereni cia maitho kari gani,0.0
siwezi kuona jinsi sinema hii inavyoweza msukumo mtu yeyote kushinda woga kukataliwa,0.0
mbaya kweli inafaa kuona sababu,0.0
muziki au kitu chochote kuzungumzia,0.0
bado mtaishi wakora ata hii ofa labda kuna kakitu mnaiba haha,0.2
nimepoteza masaa mawili,0.0
inaweza kutabirika kidogo,0.0
sikuipenda,0.0
sipenda ujinga,0.0
kaimu wastani mtu mkuu bajeti unavyoweza kuona wazi,0.0
picha mbali sehemu bora mchezo,0.0
leo picha ujinga,0.0
hili lilikuwa haribifu dhabiti mawazo,0.0
sikuvutiwa kidogo,0.0
haisisimui kidogo,0.0
carrell talanta hawezi kuokoa hii,0.0
hadithi yenyewe kutabirika uvivu,0.0
chochote kile ambacho kiliwagharimu hakikuitafsiri ubora hakika,0.0
hasi kutosha kusababisha majuto masaa mengine mawili maisha yaliyopotea mbele skrini,0.0
mrefu mwepesi hauna maana,0.0
napendekeza subiri juhudi zao baadaye acha hii iende,0.0
nilikatishwa tamaa sinema,0.0
hakukuwa joto au haiba yoyote picha hizi au wahusika,0.0
sinema hii inaoga kabisa mishipa,0.0
uaminifu kabisa nyingi sio nzuri,0.0
nyingi mazungumzo hayafuati kabisa mstari mwingine au inafaa mazingira,0.0
nisingesema wanafaa masaa 2 wako ingawa,0.0
shida maandishi,0.0
kutisha,0.0
tuhuma ambayo nilikuwa nahisi kufadhaika jinsi wasichana walivyowashukia,0.0
hakuna kitu kuaminika kabisa,0.0
kweli klabu pamba kutokuwa mwaminifu aibu kuona lane gere filamu hii sababu mbaya,0.0
kitendo kilikuwa kibovu mazungumzo hayakuwa kina udanganyifu,0.0
inasikitisha,0.0
kuelekeza sinema sio nzuri kabisa,0.0
saa nusu napenda ningeweza kurudisha,0.0
uongozaji unaonekana kawaida,0.0
ujumla mistari njama dhaifu kuliko sehemu wastani,0.0
walakini hii haikufanya ukweli jumla hii sinema kuchosha,0.0
kulikuwa dakika kadhaa sinema ambazo hazihitaji zilikuwa zikisonga polepole,0.0
siwezi kuamini waigizaji walikubali kufanya filamu hii,0.0
hii kumbukumbu mbaya harusi marafiki wangu bora,0.0
sikuweza kustahimili kuitazama mrefu kuogopa kupoteza iq,0.0
sinema hii janga safi hadithi kijinga uhariri ndio mbaya kabisa ambao nimeona unachanganya,0.0
kupoteza saa nusu kufuatia rundo wazuri kulia kulia maisha,0.0
